Chip:
Project,Product,Customer,Value,
CBT,Movies,Bruce Willis,Samuel L. Jackson,
CBT,Movies,Bruce Willis,Timothy Olyphant,
CBT,Sites,Broadcom,5721_A0,
CBT,Sites,Broadcom,5721_A1,
CBT,Sites,Broadcom,5721_A2,
CBT,Sites,Broadcom,5721_A3,
CBT,Sites,Broadcom,5721_A4,
CBT,Sites,Broadcom,5721_A5,
CBT,Sites,Broadcom,5721_B0,
CBT,Sites,Broadcom,5721_B1,
CBT,Sites,Broadcom,ALL,
CBT,Sites,Broadcom,NA,
CBT,Sites,Jackie Chan,5721_C0,
CBT,Sites,Jackie Chan,5721_C1,
CBT,Sites,Jackie Chan,5722_A0,
CBT,Sites,Jackie Chan,5722_A1,
CBT,Sites,Jackie Chan,5722_A2,
CBT,Sites,Jackie Chan,5722_B0,
CBT,Sites,Jackie Chan,5722_B1,
CBT,Sites,Jackie Chan,5722_C0,
CBT,Sites,Jackie Chan,ALL,
CBT,Sites,Jackie Chan,NA,
SBX,Caladan2,Ericsson,88020_A0,
SBX,Caladan2,Ericsson,88025_A0,
SBX,Caladan2,Ericsson,88130_A1,
SBX,Caladan2,Ericsson,88130_B0,
SBX,Caladan2,Ericsson,ALL,
SBX,Caladan2,Ericsson,BLANK,
SBX,Caladan3,Broadcom,88030_A0,
SBX,Caladan3,Broadcom,88030_B0,
SBX,Caladan3,Broadcom,ALL,
SBX,Caladan3,Broadcom,BLANK,
SBX,Caladan3,Fiberhome Telecommunication Technologies Co L,88030_A0,
SBX,Caladan3,Fiberhome Telecommunication Technologies Co L,ALL,
SBX,Caladan3,Fiberhome Telecommunication Technologies Co L,BLANK,
SBX,Caladan3,NEC Communication Systems Ltd,88030_A0,
SBX,Caladan3,NEC Communication Systems Ltd,88030_B0,
SBX,Caladan3,NEC Communication Systems Ltd,ALL,
SBX,Caladan3,NEC Communication Systems Ltd,BLANK,
SBX,Caladan3,NEC Corporation,54880_B0,
SBX,Caladan3,NEC Corporation,88030_A0,
SBX,Caladan3,NEC Corporation,88030_B0,
SBX,Caladan3,NEC Corporation,ALL,
SBX,Caladan3,NEC Corporation,BLANK,
SBX,Caladan3,ZTE,88030_A0,
SBX,Caladan3,ZTE,88030_B0,
SBX,Caladan3,ZTE,ALL,
SBX,Caladan3,ZTE,BLANK,
CTRL,NetXtreme I,Broadcom,4401_A1,
CTRL,NetXtreme I,Broadcom,5715S_A1,
CTRL,NetXtreme I,Broadcom,5715_B1,
CTRL,NetXtreme I,Broadcom,5715_C0,
CTRL,NetXtreme I,Broadcom,5716,
CTRL,NetXtreme I,Broadcom,5716_A0,
CTRL,NetXtreme I,Broadcom,5716_A1,
CTRL,NetXtreme I,Broadcom,5716_C0,
CTRL,NetXtreme I,Broadcom,5716_C1,
CTRL,NetXtreme I,Broadcom,5717,
CTRL,NetXtreme I,Broadcom,5717S,
CTRL,NetXtreme I,Broadcom,5717_B1,
CTRL,NetXtreme I,Broadcom,5717_B2,
CTRL,NetXtreme I,Broadcom,5717_C0,
CTRL,NetXtreme I,Broadcom,5718,
CTRL,NetXtreme I,Broadcom,5720_B1,
CTRL,NetXtreme I,Broadcom,5720_C0,
CTRL,NetXtreme I,Broadcom,5721,
CTRL,NetXtreme I,Broadcom,5721_A5,
CTRL,NetXtreme I,Broadcom,5721_B0,
CTRL,NetXtreme I,Broadcom,5721_B1,
CTRL,NetXtreme I,Broadcom,5721_B2,
CTRL,NetXtreme I,Broadcom,5721_C0,
CTRL,NetXtreme I,Broadcom,5722_C1,
CTRL,NetXtreme I,Broadcom,5723,
CTRL,NetXtreme I,Broadcom,5723_A0,
CTRL,NetXtreme I,Broadcom,57340,
CTRL,NetXtreme I,Broadcom,5750,
CTRL,NetXtreme I,Broadcom,5751F_C0,
CTRL,NetXtreme I,Broadcom,5751F_C1,
CTRL,NetXtreme I,Broadcom,5751M_A3,
CTRL,NetXtreme I,Broadcom,5751M_A4,
CTRL,NetXtreme I,Broadcom,5752_B0,
CTRL,NetXtreme I,Broadcom,5752_B1,
CTRL,NetXtreme I,Broadcom,5753,
CTRL,NetXtreme I,Broadcom,5753M,
CTRL,NetXtreme I,Broadcom,5753M_A1,
CTRL,NetXtreme I,Broadcom,5754_B0,
CTRL,NetXtreme I,Broadcom,5755,
CTRL,NetXtreme I,Broadcom,5756ME,
CTRL,NetXtreme I,Broadcom,5761E_A0,
CTRL,NetXtreme I,Broadcom,5761S_B0,
CTRL,NetXtreme I,Broadcom,57761_A1,
CTRL,NetXtreme I,Broadcom,57761_B0,
CTRL,NetXtreme I,Broadcom,57765X,
CTRL,NetXtreme I,Broadcom,57765_A0,
CTRL,NetXtreme I,Broadcom,57765x_A0,
CTRL,NetXtreme I,Broadcom,57765x_B0,
CTRL,NetXtreme I,Broadcom,57766_A0,
CTRL,NetXtreme I,Broadcom,57767_A0,
CTRL,NetXtreme I,Broadcom,57785X,
CTRL,NetXtreme I,Broadcom,57785X_B0,
CTRL,NetXtreme I,Broadcom,57785_A0,
CTRL,NetXtreme I,Broadcom,5780,
CTRL,NetXtreme I,Broadcom,57800,
CTRL,NetXtreme I,Broadcom,57800_A0,
CTRL,NetXtreme I,Broadcom,57800_A1,
CTRL,NetXtreme I,Broadcom,57800_B0,
CTRL,NetXtreme I,Broadcom,57800_B1,
CTRL,NetXtreme I,Broadcom,57800_E0,
CTRL,NetXtreme I,Broadcom,5780_B0,
CTRL,NetXtreme I,Broadcom,5782,
CTRL,NetXtreme I,Broadcom,5782_A1,
CTRL,NetXtreme I,Broadcom,5785_B1,
CTRL,NetXtreme I,Broadcom,5785_B2,
CTRL,NetXtreme I,Broadcom,5786,
CTRL,NetXtreme I,Broadcom,5786_A1,
CTRL,NetXtreme I,Broadcom,5786_A2,
CTRL,NetXtreme I,Broadcom,57875F,
CTRL,NetXtreme I,Broadcom,5787F_A2,
CTRL,NetXtreme I,Broadcom,5787M_A4,
CTRL,NetXtreme I,Broadcom,5787M_B0,
CTRL,NetXtreme I,Broadcom,5787_A0,
CTRL,NetXtreme I,Broadcom,5788_A0,
CTRL,NetXtreme I,Broadcom,5788_A1,
CTRL,NetXtreme I,Broadcom,5788_A2,
CTRL,NetXtreme I,Broadcom,5788_A3,
CTRL,NetXtreme I,Broadcom,5789_A2,
CTRL,NetXtreme I,Broadcom,5789_B0,
CTRL,NetXtreme I,Broadcom,5901_A3,
CTRL,NetXtreme I,Broadcom,5903M_C2,
CTRL,NetXtreme I,Broadcom,5906M_B2,
CTRL,NetXtreme I,Broadcom,5906_A0,
CTRL,NetXtreme I,Broadcom,5906_A1,
CTRL,NetXtreme I,Broadcom,5906_A2,
SOC,IPROCSW,Broadcom,5218,
SOC,IPROCSW,Broadcom,5220,
SOC,IPROCSW,Broadcom,5221,
SOC,IPROCSW,Broadcom,5226,
SOC,IPROCSW,Broadcom,5228,
SOC,IPROCSW,Broadcom,5238,
SOC,IPROCSW,Broadcom,5248,
SOC,IPROCSW,Broadcom,52681E_A1,
SOC,IPROCSW,Broadcom,53010_A2,
SOC,IPROCSW,Broadcom,53011_A1,
SOC,IPROCSW,Broadcom,53011_A2,
SOC,IPROCSW,Broadcom,53019_A0,
SOC,IPROCSW,Broadcom,53023_A0,
SOC,IPROCSW,Broadcom,53406_A0,
SOC,IPROCSW,Broadcom,56342_A0,
SOC,IPROCSW,Broadcom,56450_B0,
SOC,IPROCSW,Broadcom,56455_A0,
SOC,IPROCSW,Broadcom,56456_A0,
SOC,IPROCSW,Broadcom,56830_A1,
SOC,IPROCSW,Broadcom,56830_A2,
SOC,IPROCSW,Broadcom,58300_A0,
SOC,IPROCSW,Broadcom,58300_B0,
SOC,IPROCSW,Broadcom,58302_A0,
SOC,IPROCSW,Broadcom,58302_B0,
SOC,IPROCSW,Broadcom,Costar,
SOC,IPROCSW,Broadcom,Cygnus,
